공고명,회사명,URL
AI Consultant (1년 이상),셀렉트스타,https://www.wanted.co.kr/wd/224154
[COE부문] AI Backend Engineer,한화생명보험,https://www.wanted.co.kr/wd/211562
Runtime 소프트웨어 엔지니어 (전문연구요원 가능),에너자이(ENERZAi),https://www.wanted.co.kr/wd/185538
Sotware Engineer -AI/ML,블루개러지(Blue Garage),https://www.wanted.co.kr/wd/260755
AI Engineer(3년 이상),포디(FODI),https://www.wanted.co.kr/wd/261551
Innovation Engineer,제이와이피엔터테인먼트(JYP),https://www.wanted.co.kr/wd/270114
AI 도입 매니저 (AI Implementation Manager),휴머스온,https://www.wanted.co.kr/wd/268526
B2G Sales (5년~),빅밸류,https://www.wanted.co.kr/wd/256188
AI/DX 교육운영 담당자,언더독스,https://www.wanted.co.kr/wd/267904
AI Consultant,슈퍼브에이아이(Superb AI),https://www.wanted.co.kr/wd/261836
풀스텍 개발자 (5년차 이상),파이프트리스마트팜(PAIPTREESmartFarmInc.),https://www.wanted.co.kr/wd/249020
AI Research Engineer(Human motion generation),시나몬,https://www.wanted.co.kr/wd/136783
마케터,코드크레인(CodeCrain),https://www.wanted.co.kr/wd/266174
산업용 컴퓨터/AI 하드웨어 영업 담당자,비씨엠테크,https://www.wanted.co.kr/wd/204826
Retail Operations Manager,논픽션,https://www.wanted.co.kr/wd/266154
"CTO (Gen AI, 머신 러닝)",링크12,https://www.wanted.co.kr/wd/263133
풀스택 개발자,엘오엘,https://www.wanted.co.kr/wd/263474
[CHAI CRE.W] 브랜드 콘텐츠 기획자 (4년 이상),차이커뮤니케이션,https://www.wanted.co.kr/wd/267104
인공지능(AI) 기업교육 기획 및 운영 담당자,알고리즘랩스,https://www.wanted.co.kr/wd/270375
AI-DATA 플랫폼 기술전략담당,오케스트로,https://www.wanted.co.kr/wd/261640
NPL 채권관리 AI플랫폼 오퍼레이터,채권도시,https://www.wanted.co.kr/wd/269179
"AI 콘텐츠 기획, 제작",클레온,https://www.wanted.co.kr/wd/257947
AI/ML Product Engineer,부릉,https://www.wanted.co.kr/wd/257004
AI 아티스트 기획 & 전략,블루개러지(Blue Garage),https://www.wanted.co.kr/wd/255220
전문연구요원_AI 개발자 (병역 특례),와디즈,https://www.wanted.co.kr/wd/263224
AI Data Manager,셀렉트스타,https://www.wanted.co.kr/wd/57391
[AI Lab 제품기획팀] QA 엔지니어,모아데이타,https://www.wanted.co.kr/wd/265761
AI 엔지니어,원라인에이아이,https://www.wanted.co.kr/wd/248985
[3-5년] AI관련 백엔드개발자,텍스트웨이,https://www.wanted.co.kr/wd/266327
AI Researcher,셀렉트스타,https://www.wanted.co.kr/wd/222017
AI Back-End Engineer,타이드풀(TIDEPOOL),https://www.wanted.co.kr/wd/258332
에디AI 광고 플랫폼 영업,에이아이썸,https://www.wanted.co.kr/wd/267920
AI 개발자 (리더급),딥인사이트,https://www.wanted.co.kr/wd/260005
[개발운영] 시니어 AI 개발자,누리미디어(DBpia),https://www.wanted.co.kr/wd/247998
Document AI Researcher,애자일소다,https://www.wanted.co.kr/wd/253469
AI 엔지니어,엔엑스엔랩스,https://www.wanted.co.kr/wd/245623
AI/ML Research Engineer (3년이상),제이앤피메디(JNPMEDI),https://www.wanted.co.kr/wd/245214
AI/솔루션 B2B Marketing,포지큐브(POSICUBE),https://www.wanted.co.kr/wd/254500
[F&B with AI] 풀스택 개발자,블리츠다이나믹스,https://www.wanted.co.kr/wd/240726
Insurance IT Planning Specialist,에이아이에이생명(AIA생명),https://www.wanted.co.kr/wd/252276
[AI반도체] Deep Learning Optimization Engineer,모빌린트,https://www.wanted.co.kr/wd/147525
[AI반도체] NPU Field Application Engineer,모빌린트,https://www.wanted.co.kr/wd/248560
[AI반도체] Windows Driver Engineer,모빌린트,https://www.wanted.co.kr/wd/263454
[Tech] AI실 추천프로덕트팀 데이터엔지니어,우아한형제들(배달의민족),https://www.wanted.co.kr/wd/257605
Solution Engineering Team Lead,베슬에이아이(VESSL AI),https://www.wanted.co.kr/wd/262107
(전문연구요원 가능) ML Engineer/Researcher,에너자이(ENERZAi),https://www.wanted.co.kr/wd/110126
시니어 AI Engineer,이지케어텍,https://www.wanted.co.kr/wd/266678
AI연구소 AI기반연구팀 팀장 (7년 이상),아이스크림아트,https://www.wanted.co.kr/wd/254617
AI Designer,블루밍그레이스,https://www.wanted.co.kr/wd/256426
Clinical Research Associate,에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/258358
[B2B] AI 솔루션 세일즈 매니저,제틱에이아이,https://www.wanted.co.kr/wd/255149
AI Model Production (Document AI),업스테이지,https://www.wanted.co.kr/wd/134824
광고 및 영화(ScreenX 아이돌 다큐멘터리) 편집자,에임 스튜디오(aim studio),https://www.wanted.co.kr/wd/255616
[Global AI Startup] IT Specialist/ IT Support,마크비전코리아,https://www.wanted.co.kr/wd/255461
Senior Frontend Engineer,슈퍼브에이아이(Superb AI),https://www.wanted.co.kr/wd/236825
UX 시니어 GUI 디자이너,라이트브레인(Rightbrain),https://www.wanted.co.kr/wd/230501
병역특례 전문연구요원(AI연구원),모빅랩,https://www.wanted.co.kr/wd/248021
AI Product Planning Manager,모레,https://www.wanted.co.kr/wd/267498
AI 교육 플랫폼 - 웹 프론트엔드 개발자  (재택근무 가능),캐치잇플레이(Catch it english),https://www.wanted.co.kr/wd/252509
"[CHAI CRE.W] 퍼포먼스 마케터 (광고 캠페인, 2년~3년)",차이커뮤니케이션,https://www.wanted.co.kr/wd/269599
AI/LLM Curriculum Developer,업스테이지,https://www.wanted.co.kr/wd/262163
"Corporate Operator(Strategy, Finance, People)",에임(AIM),https://www.wanted.co.kr/wd/50128
[ETL/AI] Data Engineer,디써클,https://www.wanted.co.kr/wd/237885
[AI반도체] NPU Compiler Engineer (전문연구요원 가능),모빌린트,https://www.wanted.co.kr/wd/117659
Search Engineer,티맵모빌리티,https://www.wanted.co.kr/wd/249889
Senior AI Researcher,모빅랩,https://www.wanted.co.kr/wd/205410
[EQST Lab] AI 보안 연구,에스케이쉴더스(SK쉴더스),https://www.wanted.co.kr/wd/267714
퍼포먼스 마케터 1년 이상,마더브레인(Motherbrain),https://www.wanted.co.kr/wd/258794
[AI반도체] Deep Learning Research Engineer,모빌린트,https://www.wanted.co.kr/wd/75640
AI SDK Software Engineer,가우디오랩,https://www.wanted.co.kr/wd/233407
[Project YOUKAI] Engine Programer,보이저,https://www.wanted.co.kr/wd/261405
AI연구소 시니어 연구원,룰루랩(lululab),https://www.wanted.co.kr/wd/261991
"Communication Manager(Policy, PR, Community)",에임(AIM),https://www.wanted.co.kr/wd/41597
SW개발 AI 개발자,더블티,https://www.wanted.co.kr/wd/257108
AI 교육 콘텐츠 엔지니어,엘리스,https://www.wanted.co.kr/wd/261693
Regulatory Affairs Team Leader,루닛(Lunit),https://www.wanted.co.kr/wd/249729
Embedded AI SW Engineer (C++),옵트에이아이,https://www.wanted.co.kr/wd/265345
정부과제 AI Consultant,셀렉트스타,https://www.wanted.co.kr/wd/270524
"[CHAI CRE.W] 퍼포먼스 마케터(DA/APP, 4년 이상)",차이커뮤니케이션,https://www.wanted.co.kr/wd/269047
AI 분야 소프트웨어 (4년이상),글로벌시스템스,https://www.wanted.co.kr/wd/250004
Product Specialist (Sales-VD),에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/267022
[クリエーションライン株式会社] AI/LLM エンジニア_근무지 일본,원티드_일본 현지 채용,https://www.wanted.co.kr/wd/265623
AI DevOps 엔지니어(3년~),인포그랩,https://www.wanted.co.kr/wd/268729
Sr. Machine Learning Software Engineer (MG AI),하이퍼커넥트,https://www.wanted.co.kr/wd/254450
"ML engineer/ AI researcher (전문연구요원 - 보충역, 전직자)",알세미,https://www.wanted.co.kr/wd/269670
AI Site Reliability Engineer,업스테이지,https://www.wanted.co.kr/wd/248963
Product Manager,팀에버플,https://www.wanted.co.kr/wd/243829
HR Manager (조직문화 담당자),에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/245961
글로벌 캠페인 매니저(Global AD Campaign Operation),엔비티(NBT),https://www.wanted.co.kr/wd/246215
[CHAI CRE.W] 내부회계관리 담당자 (3년 이상),차이커뮤니케이션,https://www.wanted.co.kr/wd/264002
AI 솔루션 영업,애자일소다,https://www.wanted.co.kr/wd/260061
AI 개발(STT/LLM),넥서스커뮤니티,https://www.wanted.co.kr/wd/198559
데이터 분석가 (3년차 이상),파이프트리스마트팜(PAIPTREESmartFarmInc.),https://www.wanted.co.kr/wd/250669
RA Manager (의료기기 인허가 전문가),에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/250426
＜PJ_Youkai＞ Client,보이저,https://www.wanted.co.kr/wd/255283
AI DevOps,업스테이지,https://www.wanted.co.kr/wd/163297
AD Campaign Manager,엔비티(NBT),https://www.wanted.co.kr/wd/246220
[AI반도체] Linux System Engineer,모빌린트,https://www.wanted.co.kr/wd/263455
AI 기술 기반 콘텐츠 혁신 프로젝트 리드 엔지니어(PM),이브로드캐스팅,https://www.wanted.co.kr/wd/253196
[AI반도체] SCM Manager,모빌린트,https://www.wanted.co.kr/wd/256517
